Real;Pronostic
0;121
0,04563235;299
0,1379559;933
0,2334559;37279
0,2830588;82612
0,3872941;232087
0,5;403681
0,5741364;512649
0,7737501;647322
0,9517371;796355
1;892547
0;2389
-0,000383612;130
0,1185361;31315
0,2139021;93102
0,4166027;236533
0,5832362;409652
0,6822158;517155
0,8801749;679180
0,9994169;823676
0;11634
0,007188109;41659
0,1677632;170276
0,2846004;261967
0,5;434026
0,7160494;602925
0,9320987;779555
1;838159
0;10187
-0,001841338;17104
0,1097898;119589
0,2022403;230284
0,4078564;376161
0,6103333;541893
0,751;632985
0,9813333;796971
1;857398
0;1343
0,009807956;8124
0,05185185;17310
0,1844993;139710
0,2648148;217684
0,4277092;393931
0,5;502390
0,5874183;565596
0,8220588;745877
0,9261438;811059
1;820730
0;4599
0,03676709;56633
0,1083576;115070
0,2011662;208442
0,4076774;362821
0,6100392;548504
0,7501177;615044
0,8851765;687128
1;839998
0;-16
0,07075024;41054
0,1714744;96221
0,4056861;257791
0,587613;453372
0,7925544;637792
0,8869328;723642
1,002131;878133
1;902073
0;-882
0,03938352;11296
0,3110438;186580
0,4123869;297587
0,5941108;449123
0,7097016;549800
0,9279502;704316
1;803175
0;7113
0,03960155;82562
0,1110787;156620
0,3056366;326819
0,4080175;403568
0,5;495886
0,7501177;632958
0,9801568;816917
1;816465
0;3486
0,007063153;11768
0,07075024;45233
0,2896486;179050
0,4056861;296384
0,5874341;451843
0,6883594;557564
0,8855007;699867
0,9591247;771148
1;798560
0;9482
0,06790123;89614
0,2839506;244712
0,4012346;347913
0,5;411332
0,7167756;570968
0,8345588;655112
0,9335512;741385
1;820746
0;-482
0,01967358;12312
0,07327777;44118
0,2331493;164525
0,3254681;259269
0,5;426985
0,7463846;607924
0,8834231;687626
0,9803077;773952
1;822423
-0,009190672;690
0,009807956;5589
0,111797;50785
0,1844993;127202
0,3475994;283939
0,4277092;388103
0,5;482994
0,7027778;644731
0,9277778;779919
0,9939236;829853
1;825130
0,02008929;4500
0,07542783;20393
0,2385603;146021
0,4207899;339182
0,5;401237
0,7054673;579091
0,9268078;733840
0,9921737;793794
1;849018
0;369
0,04087535;24734
0,1144994;66941
0,3116406;221319
0,5;412493
0,7103513;602359
0,9292498;779403
1;808789
0;9135
0,005120651;20312
0,06453423;55401
0,1609848;162405
0,3959736;334945
0,5;405642
0,6148877;511161
0,7555722;581878
1;797116
0;645
0,03825891;37696
0,1097898;111886
0,3050995;252608
0,4078564;352602
0,6103333;515857
0,751;608621
0,9813333;765705
1;808657
0;10840
0,05185185;19168
0,1844993;125468
0,2648148;204765
0,4277092;379730
0,5;490431
0,7019608;645335
0,8220588;727873
0,9261438;805406
1;820595
0;727
-0,002130523;15307
0,1130672;118661
0,2074456;211234
0,4123869;378376
0,5943139;545982
0,7103513;632863
0,9292498;785049
1;823980
0;4667
0,06049383;78845
0,1541667;165104
0,3896605;344740
0,6395833;515957
0,8138889;584090
0,95625;657592
1;734251
0;245
0,04343276;36831
0,2103611;182630
0,3126635;271986
0,4128729;374981
0,5945408;527724
0,7110776;629977
0,9940715;809585
1;801777
0;315
-0,007077113;5286
0,01967358;18843
0,1467611;130969
0,3254681;305136
0,4167431;380246
0,6062308;547315
0,7463846;635218
0,9803077;791544
1;821222
0;4233
-0,006476151;-249
0,02173402;9078
0,07714109;31766
0,2395882;147078
0,4209498;322485
0,5909805;509065
0,7070106;561160
0,8270089;676104
0,994585;785516
1;804398
-0,01023031;1008
0,05009747;32122
0,1101725;62017
0,1831998;124059
0,2639376;219091
0,4275792;385614
0,5876736;554914
0,7027778;644254
0,9277778;813852
1;831798
0;-172
0,01802885;9578
0,1452992;75385
0,3249199;235433
0,4165832;345095
0,6056752;509310
0,8809231;661201
1;820361
0;-1685
0,03960155;48765
0,1110787;119429
0,4080175;372498
0,5;465397
0,7501177;628271
0,8851765;693856
1;815112
0;104
-0,001056409;13565
0,1144994;82900
0,3116406;232690
0,4125659;310638
0,5943139;495652
0,8285257;671183
0,9929368;814407
1;820384
0;970
0,03825891;33046
0,1097898;108938
0,3050995;254006
0,5;433881
0,6106667;517455
0,888;681830
1;779880
-0,01023031;3510
0,05009747;11724
0,1101725;40214
0,1831998;105339
0,3471446;250954
0,4275792;359836
0,5874183;533359
0,8220588;680193
0,9261438;772901
1;864846
0;2196
0,03938352;11275
0,2074456;90022
0,3110438;180617
0,4123869;248124
0,7103513;516813
0,8285257;578120
0,9929368;742719
1;801571
0;-593
-0,006770833;9775
0,01875;42304
0,1416667;141225
0,2265625;250899
0,4119792;393042
0,5;478125
0,6308594;550492
0,9550781;707679
1;790808
0,009602195;5512
0,05026455;37750
0,1085636;82893
0,2592593;237583
0,3422497;352344
0,4240643;407667
0,6027143;571617
0,7424286;663614
0,8807857;727558
1;785526
0;1906
-0,007778235;5758
0,06877056;80892
0,1403509;141593
0,3182566;338113
0,5;495282
0,6305147;562322
0,8063725;621826
1;803293
0;876
0,07204978;33566
0,1725709;94613
0,4058892;258418
0,587613;434573
0,6889561;534634
0,8869328;705853
0,9606165;775376
1;794374
0;-731
-0,002915452;8576
0,1083576;87324
0,2011662;158854
0,3045028;245619
0,4076774;333602
0,6097777;491519
0,884;657116
1;777585
0;5408
-0,000874636;24492
0,1110787;130680
0,203207;243004
0,4080175;386455
0,5;472777
0,751;643003
0,8865;725346
1;821121
0;-774
0,02173402;12949
0,1522556;90570
0,2395882;181150
0,3316494;282546
0,4209498;371908
0,5907252;516010
0,7061936;582487
0,9933084;778689
1;815833
0;-904
-0,006476151;3444
0,02173402;11197
0,07714109;53870
0,2395882;190003
0,4209498;377118
0,5;439042
0,5909805;536871
0,7070106;605377
0,9298942;766941
0,994585;788676
1;806349
0;1067
0,01802885;12405
0,0715645;34541
0,2321214;158385
0,3249199;249124
0,4165832;320820
0,6056752;496855
0,744718;560079
0,8809231;652706
1;778092
0;4476
-0,001802279;19294
0,03650941;66972
0,1957859;205071
0,4024516;391106
0,5;487255
0,6351207;558033
0,9564986;709329
1;801091
0;-1263
0,02321429;19673
0,1535714;126049
0,2405134;209020
0,4210938;380214
0,5;466136
0,5907252;546810
0,8256302;705720
0,9282602;791982
1;801741
0;-1662
0,03938352;20955
0,1130672;76624
0,3110438;234425
0,4123869;323854
0,5;390910
0,8285257;659535
0,9292498;733904
1;794039
0;284
0,04087535;38187
0,2085197;171407
0,3116406;277729
0,4125659;357753
0,5;419839
0,7097016;612649
0,8274292;691078
0,9919216;835021
1;862455
0;21036
0,004873294;50384
0,06179337;125954
0,2697856;317355
0,5;491635
0,6402344;577393
0,9582031;760980
1;816685
0;-939
0,02115385;15139
0,07481971;51099
0,1480769;112738
0,416887;365547
0,5;471889
0,744718;656210
0,8809231;759466
1;885590
0;-35
0,04221798;41999
0,1157883;87718
0,3121776;247331
0,5;429771
0,5945408;525885
0,8297511;678484
0,9940715;808839
1;822671
0;660
0,01726974;15041
0,06877056;58672
0,2256373;188881
0,3182566;292919
0,4118353;366847
0,5;467463
0,8072917;625411
0,9550781;733800
0;1681
0,02321429;13552
0,07868303;34457
0,1535714;81086
0,3321429;224621
0,4210938;333742
0,5907252;500046
0,8256302;685158
0,9282602;748042
1;819454
0;-1127
-0,002915452;2913
0,03676709;17126
0,2011662;115892
0,3045028;214199
0,4076774;321938
0,6097777;497794
0,7493333;571683
0,884;669938
1;805786
0;4652
0,006135921;22427
0,1620813;117675
0,2778664;207748
0,3961767;302535
0,6148877;490402
0,7555722;548322
0,981369;708484
1;791606
0;2184
0,02115385;14212
0,07481971;37158
0,2340745;149435
0,3259615;264098
0,5;416551
0,7463846;587440
0,9803077;780464
1;850401
0;1991
0,02173402;9650
0,1522556;68879
0,3316494;233739
0,4209498;315228
0,5;399839
0,7054673;573378
0,8244048;665782
0,9921737;832001
1;851203
0;7131
0,06790123;55514
0,2839506;204670
0,4012346;297178
0,5;382573
0,7167756;532734
0,8345588;652104
0,9949619;816094
1;845146
0;1091
0,01967358;8144
0,1467611;88289
0,2331493;178595
0,4167431;351298
0,6062308;531318
0,7463846;602200
0,8834231;672576
1;813949
0;-1504
0,008161865;1820
0,04867725;23776
0,1786204;122955
0,2584656;240864
0,3418381;345221
0,4239467;395320
0,5;506090
0,7424286;632684
0,8807857;714936
0,9794286;807002
1;829663
0;1873
0,01967358;10993
0,1467611;100178
0,2331493;191594
0,4167431;372147
0,6059366;533848
0,8820996;697228
0,9791312;774944
1;798921
0;-1660
0,02115385;26970
0,1480769;126929
0,2340745;219579
0,416887;391298
0,5;494894
0,7455022;659452
0,8820996;753059
1;829806
0;-653
-0,001056409;12832
0,04087535;36160
0,2085197;157548
0,3116406;259877
0,4125659;361191
0,5943139;512035
0,7103513;580613
0,8285257;669222
0,9292498;740758
1;847640
0;-17
0,02115385;22299
0,1480769;114735
0,2340745;218465
0,416887;389102
0,5;488016
0,7455022;636546
0,9791312;773403
1;779152
0;5932
0,06790123;62140
