EventIndex;TotalTime;RelativeTime;SkeletonId;Joint;Status;EuclideanDistance
91;4,5191048;0,0669833;7,20576E+16;WristRight;TRACKED;0,05829871
92;4,552108;0,0999865;7,20576E+16;WristRight;TRACKED;0,1094775
93;4,5862171;0,1340956;7,20576E+16;WristRight;TRACKED;0,1818083
94;4,6191401;0,1670186;7,20576E+16;WristRight;TRACKED;0,2520359
95;4,6521315;0,20001;7,20576E+16;WristRight;TRACKED;0,3531898
96;4,7191153;0,2669938;7,20576E+16;WristRight;TRACKED;0,4534487
97;4,7862256;0,3341041;7,20576E+16;WristRight;TRACKED;0,512018
98;4,8191046;0,3669831;7,20576E+16;WristRight;TRACKED;0,4236006
106;5,2521516;0,0659627;7,20576E+16;WristRight;TRACKED;0,03679476
107;5,2861816;0,0999927;7,20576E+16;WristRight;TRACKED;0,09375168
108;5,3520946;0,1659057;7,20576E+16;WristRight;TRACKED;0,2756183
109;5,3861881;0,1999992;7,20576E+16;WristRight;TRACKED;0,3896407
110;5,4191057;0,2329168;7,20576E+16;WristRight;TRACKED;0,5036854
111;5,4861994;0,3000105;7,20576E+16;WristRight;TRACKED;0,7278215
112;5,5191342;0,3329453;7,20576E+16;WristRight;TRACKED;0,7821729
113;5,5521436;0,3659547;7,20576E+16;WristRight;TRACKED;0,768531
115;5,7191031;0,5329142;7,20576E+16;WristRight;TRACKED;0,5641223
121;6,0191;0,0328664;7,20576E+16;WristRight;TRACKED;0,01316127
122;6,0861981;0,0999645;7,20576E+16;WristRight;TRACKED;0,09075393
123;6,1191909;0,1329573;7,20576E+16;WristRight;TRACKED;0,1860809
124;6,1521032;0,1658696;7,20576E+16;WristRight;TRACKED;0,3096843
125;6,186184;0,1999504;7,20576E+16;WristRight;TRACKED;0,4173443
126;6,2520974;0,2658638;7,20576E+16;WristRight;TRACKED;0,6713738
127;6,3190998;0,3328662;7,20576E+16;WristRight;TRACKED;0,904021
128;6,352119;0,3658854;7,20576E+16;WristRight;TRACKED;0,902279
129;6,3862062;0,3999726;7,20576E+16;WristRight;TRACKED;0,9374946
130;6,4521303;0,4658967;7,20576E+16;WristRight;TRACKED;0,8155905
140;6,8861866;0,0670609;7,20576E+16;WristRight;TRACKED;0,0487354
141;6,9191218;0,0999961;7,20576E+16;WristRight;TRACKED;0,126679
142;6,9521005;0,1329748;7,20576E+16;WristRight;TRACKED;0,2170711
144;7,0520997;0,232974;7,20576E+16;WristRight;TRACKED;0,517957
145;7,1191132;0,2999875;7,20576E+16;WristRight;TRACKED;0,8270513
146;7,1520958;0,3329701;7,20576E+16;WristRight;TRACKED;0,7552443
147;7,1861957;0,36707;7,20576E+16;WristRight;TRACKED;0,7904435
148;7,2191505;0,4000248;7,20576E+16;WristRight;TRACKED;0,7837036
159;7,7521106;0,0327862;7,20576E+16;WristRight;TRACKED;0,01681939
160;7,8191344;0,09981;7,20576E+16;WristRight;TRACKED;0,1250007
161;7,8521146;0,1327902;7,20576E+16;WristRight;TRACKED;0,1943993
162;7,9520966;0,2327722;7,20576E+16;WristRight;TRACKED;0,3900128
163;7,9861911;0,2668667;7,20576E+16;WristRight;TRACKED;0,4635397
164;8,019079;0,2997546;7,20576E+16;WristRight;TRACKED;0,4638947
174;8,5520918;0,0658743;7,20576E+16;WristRight;TRACKED;0,06433477
175;8,5861927;0,0999752;7,20576E+16;WristRight;TRACKED;0,1443771
176;8,6190903;0,1328728;7,20576E+16;WristRight;TRACKED;0,2141472
177;8,6521496;0,1659321;7,20576E+16;WristRight;TRACKED;0,33411
178;8,752116;0,2658985;7,20576E+16;WristRight;TRACKED;0,6394667
179;8,786189;0,2999715;7,20576E+16;WristRight;TRACKED;0,7106895
191;9,3861837;0,0670722;7,20576E+16;WristRight;TRACKED;0,05161967
192;9,4191126;0,1000011;7,20576E+16;WristRight;TRACKED;0,1286273
193;9,4861726;0,1670611;7,20576E+16;WristRight;TRACKED;0,300232
194;9,5521383;0,2330268;7,20576E+16;WristRight;TRACKED;0,4859865
195;9,5861932;0,2670817;7,20576E+16;WristRight;TRACKED;0,5957789
206;10,0861756;0,0670795;7,20576E+16;WristRight;TRACKED;0,00210064
207;10,1191416;0,1000455;7,20576E+16;WristRight;TRACKED;0,01516188
208;10,1521984;0,1331023;7,20576E+16;WristRight;TRACKED;0,04457404
209;10,2190987;0,2000026;7,20576E+16;WristRight;TRACKED;0,1961074
210;10,2521546;0,2330585;7,20576E+16;WristRight;TRACKED;0,2814264
211;10,3190973;0,3000012;7,20576E+16;WristRight;TRACKED;0,5090517
212;10,3521356;0,3330395;7,20576E+16;WristRight;TRACKED;0,5868359
213;10,3861871;0,367091;7,20576E+16;WristRight;TRACKED;0,6385344
214;10,4190964;0,4000003;7,20576E+16;WristRight;TRACKED;0,6837443
215;10,4861887;0,4670926;7,20576E+16;WristRight;TRACKED;0,7160465
216;10,5191791;0,500083;7,20576E+16;WristRight;TRACKED;0,6732484
226;10,9520883;0,0330011;7,20576E+16;WristRight;TRACKED;0,01600715
227;10,9861799;0,0670927;7,20576E+16;WristRight;TRACKED;0,06291392
228;11,0861819;0,1670947;7,20576E+16;WristRight;TRACKED;0,3122261
229;11,1191035;0,2000163;7,20576E+16;WristRight;TRACKED;0,4435577
230;11,1521276;0,2330404;7,20576E+16;WristRight;TRACKED;0,5168181
231;11,2190992;0,300012;7,20576E+16;WristRight;TRACKED;0,6985539
232;11,2520945;0,3330073;7,20576E+16;WristRight;TRACKED;0,6851656
233;11,319155;0,4000678;7,20576E+16;WristRight;TRACKED;0,6138473
243;11,8521048;0,0659031;7,20576E+16;WristRight;TRACKED;0,05425953
244;11,8861695;0,0999678;7,20576E+16;WristRight;TRACKED;0,1196603
245;11,9520893;0,1658876;7,20576E+16;WristRight;TRACKED;0,2492125
246;11,9861892;0,1999875;7,20576E+16;WristRight;TRACKED;0,333775
247;12,0520992;0,2658975;7,20576E+16;WristRight;TRACKED;0,4421737
248;12,1191206;0,3329189;7,20576E+16;WristRight;TRACKED;0,4442831
157;8,4360992;0,0659305;7,20576E+16;WristRight;TRACKED;0,05333171
158;8,4701605;0,0999918;7,20576E+16;WristRight;TRACKED;0,1141455
159;8,5360866;0,1659179;7,20576E+16;WristRight;TRACKED;0,2529512
160;8,5701782;0,2000095;7,20576E+16;WristRight;TRACKED;0,328501
161;8,6030836;0,2329149;7,20576E+16;WristRight;TRACKED;0,4223381
162;8,6701764;0,3000077;7,20576E+16;WristRight;TRACKED;0,5009732
172;9,1701783;0,034096;7,20576E+16;WristRight;TRACKED;0,006690075
173;9,2360795;0,0999972;7,20576E+16;WristRight;TRACKED;0,09967537
174;9,2701843;0,134102;7,20576E+16;WristRight;TRACKED;0,182913
175;9,3360899;0,2000076;7,20576E+16;WristRight;TRACKED;0,3858908
176;9,3702005;0,2341182;7,20576E+16;WristRight;TRACKED;0,4557003
177;9,4031088;0,2670265;7,20576E+16;WristRight;TRACKED;0,5605409
178;9,4701967;0,3341144;7,20576E+16;WristRight;TRACKED;0,6164269
179;9,5360769;0,3999946;7,20576E+16;WristRight;TRACKED;0,6098593
188;10,070185;0,0341057;7,20576E+16;WristRight;TRACKED;0,01508811
189;10,1030841;0,0670048;7,20576E+16;WristRight;TRACKED;0,05616285
190;10,1701632;0,1340839;7,20576E+16;WristRight;TRACKED;0,1603261
191;10,2030808;0,1670015;7,20576E+16;WristRight;TRACKED;0,2507873
192;10,2361083;0,200029;7,20576E+16;WristRight;TRACKED;0,2803216
193;10,3360772;0,2999979;7,20576E+16;WristRight;TRACKED;0,3639678
202;10,8031029;0,0665261;7,20576E+16;WristRight;TRACKED;0,03989976
203;10,8361123;0,0995355;7,20576E+16;WristRight;TRACKED;0,09687438
204;10,9361637;0,1995869;7,20576E+16;WristRight;TRACKED;0,3588305
205;10,9701854;0,2336086;7,20576E+16;WristRight;TRACKED;0,5153626
206;11,0030796;0,2665028;7,20576E+16;WristRight;TRACKED;0,5667874
207;11,1030963;0,3665195;7,20576E+16;WristRight;TRACKED;0,6553189
208;11,1702223;0,4336455;7,20576E+16;WristRight;TRACKED;0,6417688
209;11,2030725;0,4664957;7,20576E+16;WristRight;TRACKED;0,6673782
216;11,6701744;0,0340842;7,20576E+16;WristRight;TRACKED;0,01811774
217;11,7031204;0,0670302;7,20576E+16;WristRight;TRACKED;0,06069542
218;11,7701935;0,1341033;7,20576E+16;WristRight;TRACKED;0,177797
219;11,8702024;0,2341122;7,20576E+16;WristRight;TRACKED;0,3814279
230;12,5360969;0,0659168;7,20576E+16;WristRight;TRACKED;0,05621836
231;12,6031979;0,1330178;7,20576E+16;WristRight;TRACKED;0,1616701
232;12,670172;0,1999919;7,20576E+16;WristRight;TRACKED;0,3007237
233;12,7031111;0,232931;7,20576E+16;WristRight;TRACKED;0,3352295
234;12,7360834;0,2659033;7,20576E+16;WristRight;TRACKED;0,347032
241;13,2030871;0,0669984;7,20576E+16;WristRight;TRACKED;0,01355282
242;13,236082;0,0999933;7,20576E+16;WristRight;TRACKED;0,04137661
243;13,3031107;0,167022;7,20576E+16;WristRight;TRACKED;0,1802497
244;13,3702425;0,2341538;7,20576E+16;WristRight;TRACKED;0,3847998
245;13,4030785;0,2669898;7,20576E+16;WristRight;TRACKED;0,4571377
246;13,4701605;0,3340718;7,20576E+16;WristRight;TRACKED;0,670539
247;13,5361208;0,4000321;7,20576E+16;WristRight;TRACKED;0,7417911
257;14,1031071;0,1000167;7,20576E+16;WristRight;TRACKED;0,1016451
258;14,303074;0,2999836;7,20576E+16;WristRight;TRACKED;0,6969991
259;14,3360948;0,3330044;7,20576E+16;WristRight;TRACKED;0,6520698
260;14,3701726;0,3670822;7,20576E+16;WristRight;TRACKED;0,6955357
268;14,8360713;0,032986;7,20576E+16;WristRight;TRACKED;0,007625381
269;14,8701673;0,067082;7,20576E+16;WristRight;TRACKED;0,03974045
270;14,9360851;0,1329998;7,20576E+16;WristRight;TRACKED;0,1810184
271;15,0030694;0,1999841;7,20576E+16;WristRight;TRACKED;0,3713886
272;15,0360969;0,2330116;7,20576E+16;WristRight;TRACKED;0,474159
273;15,070164;0,2670787;7,20576E+16;WristRight;TRACKED;0,5683733
274;15,1030778;0,2999925;7,20576E+16;WristRight;TRACKED;0,5810625
275;15,1701734;0,3670881;7,20576E+16;WristRight;TRACKED;0,6832464
284;15,6360794;0,0658475;7,20576E+16;WristRight;TRACKED;0,02080109
285;15,6701568;0,0999249;7,20576E+16;WristRight;TRACKED;0,06497179
286;15,7030793;0,1328474;7,20576E+16;WristRight;TRACKED;0,1285435
287;15,8030594;0,2328275;7,20576E+16;WristRight;TRACKED;0,4056273
288;15,8360845;0,2658526;7,20576E+16;WristRight;TRACKED;0,5612296
289;15,8701604;0,2999285;7,20576E+16;WristRight;TRACKED;0,6778551
290;15,9361574;0,3659255;7,20576E+16;WristRight;TRACKED;0,7608606
291;15,9701591;0,3999272;7,20576E+16;WristRight;TRACKED;0,8054432
