Real;Pronostic
0;100849
0,09090909;62893
0,1363636;65227
0,2272727;71755
0,3181818;128979
0,4545455;240479
0,5;313005
0,5909091;310011
0,6818182;203296
0,7727273;113116
0,8181818;78122
0,9090909;76237
1;113521
0;79560
0,02246094;133334
0,0859375;217836
0,1312256;281694
0,2452393;398782
0,3856201;380690
0,5465088;278487
0,7220459;134411
0,9063721;85057
1;84808
0;66872
0,005737305;80785
0,04943848;213202
0,1312256;329079
0,1845703;459912
0,3125;417964
0,3856201;332850
0,5465088;210309
0,6328125;109905
0,8134766;84915
1;75757
0,005737305;100790
0,04943848;164780
0,0859375;230698
0,1312256;281152
0,2452393;423585
0,3856201;353795
0,5465088;243269
0,7220459;156858
0,8134766;107706
0,9063721;92633
1;88474
0,007470846;125471
0,06395773;210807
0,1107872;266805
0,3125;289781
0,4870627;171152
0,5830904;125992
0,787172;88911
1;93538
0;62875
0,005737305;78827
0,04943848;130019
0,1312256;269684
0,1845703;333721
0,3125;360187
0,4638672;248055
0,5465088;144991
0,7220459;78645
0,8134766;60415
0,9063721;73066
0;142712
0,03542791;154943
0,06181659;180677
0,1338388;271313
0,2286047;361509
0,3426155;289812
0,4057443;187978
0,5420615;117039
0,6888759;92596
0,8426884;87724
0,9211255;78980
1;92793
0;148787
0,01994708;202875
0,04396499;264114
0,07653165;313356
0,1170364;336897
0,2194179;288591
0,3462243;170118
0,4172603;118553
0,4925707;88751
0,6535721;90714
0,8243436;97347
0,9118665;74447
1;83595
0,003347371;168775
0,02915452;168725
0,07828528;179450
0,1107872;231288
0,1481481;295932
0,1900443;330287
0,2861462;310207
0,3397041;282902
0,4562142;162461
0,5830904;89316
0,6496059;73477
0,8575748;60381
0,9286254;72763
1;83897
0;147425
0,02548148;197301
0,056;242062
0,1481481;323803
0,208;336340
0,3508148;300340
0,432;151226
0,6094815;95724
0,704;73480
0,9001482;74124
1;70927
0;112945
0,01994708;87056
0,04396499;87430
0,07653165;119447
0,1648687;200316
0,2194179;250281
0,2800733;332981
0,4172603;409264
0,4925707;341762
0,6535721;202430
0,9118665;120075
1;101742
0;197767
0,01012731;222559
0,0859375;332783
0,1481481;449383
0,2242477;486374
0,3125;503510
0,5185185;568244
0,6328125;659815
0,8752894;801568
1;902480
0;137736
0,03935185;181453
0,105024;273719
0,1974451;364513
0,3125;374935
0,4460734;261357
0,59405;132199
0,7523148;69741
0,8340192;72050
1;76305
0;150874
0,005088541;159873
0,04396499;181769
0,1170364;245072
0,2800733;411690
0,3462243;453830
0,6535721;253217
0,9118665;109024
1;79095
0;184256
0,005737305;184159
0,04943848;206591
0,0859375;282232
0,1845703;371463
0,2452393;478300
0,3125;487317
0,4638672;492453
0,6328125;509834
0,8134766;610954
0,9063721;805323
1;906107
0;146688
0,01994708;142972
0,1170364;226028
0,1648687;312240
0,2800733;430624
0,4172603;329107
0,4925707;215610
0,5715449;117859
0,6535721;91374
0,7380419;88829
0,8243436;86941
0,9118665;74072
1;78555
0;147972
0,02246094;140356
0,04943848;161122
0,0859375;204584
0,1845703;307979
0,3125;435442
0,4638672;395168
0,5465088;309865
0,6328125;162066
0,8134766;92253
0;165706
0,02246094;197039
0,04943848;224192
0,1312256;313131
0,1845703;398700
0,3125;370018
0,4638672;277135
0,6328125;139933
0,7220459;74116
0,8134766;63778
1;64497
0,004543896;190241
0,01783265;203803
0,0685871;260164
0,105024;336018
0,1974451;399775
0,2524005;484106
0,3772291;498795
0,5185185;511664
0,59405;575471
0,7523148;697039
0,8340192;866397
1;918721
0;216845
0,005737305;185660
0,02246094;177550
0,0859375;210039
0,1845703;303760
0,3125;398144
0,3856201;438130
0,5465088;420325
0,6328125;360275
0,8134766;206162
1;108058
0;192601
0,02915452;256370
0,06395773;346380
0,2361516;368908
0,3125;302325
0,4870627;180344
0,6834912;107672
0,787172;92979
1;85985
0,00646049;183808
0,14101;203328
0,1956736;228848
0,3216212;299345
0,4615287;404195
0,5336419;403232
0,676037;459970
0,807789;452308
0,9190571;432835
1;517464
0;172052
0,07800293;170766
0,1328125;206666
0,2724609;288534
0,4375;270744
0,6103516;212279
0,7734375;204153
0,8458252;125648
0,9091797;92299
1;100178
0;161997
0,03567708;161997
0,07705078;177569
0,1961263;286889
0,2695313;347330
0,4333333;358249
0,5194336;261894
0,6892903;173904
0,76875;127193
0,9059896;82919
1;82689
0;164132
0,009399414;168816
0,07800293;183714
0,1983643;241936
0,2724609;297546
0,4375;362482
0,6942139;290715
0,7734375;199904
0,9091797;97994
1;78784
0;166022
0,04158923;163050
0,2255892;235627
0,3083636;306371
0,5825455;279986
0,6734007;186395
0,8378182;94115
0,9058855;85170
0,960862;68792
0;162075
0,0547455;199338
0,1963806;306199
0,2891875;421220
0,3910034;481869
0,7081286;454396
0,8036036;396382
0,8868991;461034
1;537525
0;144686
0,03197454;142989
0,1182268;183345
0,24425;262677
0,3176421;367936
0,4761209;441050
0,5575807;418273
0,638103;286587
0,7158744;179974
0,855911;209688
0,9631836;235058
1;271260
0;148124
0,04694883;222801
0,1701015;362158
0,3429175;463106
0,4396552;540567
0,6372021;637218
0,8180607;823020
0,9556901;934042
1;955285
0;151197
0,01073357;150543
0,0411374;156226
0,1501744;246217
0,3055484;366173
0,4856965;336880
0,5783226;243686
0,7552019;151627
0,8340645;114809
0,9029486;107373
1;118296
0;121328
0,01073357;129594
0,0411374;149634
0,08851613;177215
0,1501744;247833
0,3055484;354077
0,3938734;448453
0,4856965;470369
0,7552019;427049
0,8340645;340113
0,9029486;221265
1;120633
0;145671
0,01236637;138359
0,1012391;216507
0,2532799;319437
0,3446064;435674
0,5411079;392093
0,733722;216241
0,8956268;105994
0,9566813;101113
0,01059515;156647
0,08744828;221421
0,1484342;226994
0,3023448;329122
0,3899975;442923
0,5735173;424504
0,7504163;326041
0,957221;279076
1;217832
0,01439267;132119
0,1168207;159280
0,1963806;202737
0,3910034;304204
0,4975908;402313
0,6047118;433640
0,8036036;460756
0,9537771;414604
0;123589
0,009340348;112412
0,07754222;135062
0,1320564;154654
0,2710434;230395
0,3511687;318582
0,5218151;463906
0,6079889;695553
0,7711694;858985
0,8438287;899753
0,9604177;922833
1;927654
0,01085522;125618
0,04158923;134668
0,08945455;154789
0,2255892;233708
0,3083636;294992
0,3972795;364449
0,4895892;441151
0,6734007;442315
0,7594074;369157
0,9058855;255209
0,960862;126907
1;76962
0;157980
0,0547455;219045
0,2891875;350441
0,3910034;500168
0,6047118;608644
0,8036036;700971
0,8868991;814873
0,9537771;884018
0;91856
0,088;135769
0,1493333;196325
0,2222222;277458
0,392;399765
0,4835556;408294
0,6666667;309888
0,7528889;183644
0,9013333;127433
1;110024
0;103653
0,04749365;88269
0,1017822;113221
0,2545142;194769
0,3461864;280090
0,5432145;429991
0,7359165;439266
0,8221809;431676
0,8972068;320833
1;624974
0;107107
0,04859259;129074
0,1754074;198153
0,4500741;337292
0,648;296343
0,8245926;623423
0,9514074;816493
1;916736
0,005737305;138924
0,02246094;133600
0,0859375;187058
0,1312256;242544
0,1845703;306591
0,3856201;312159
0,5465088;234511
0,6328125;343378
0,8134766;448219
1;374240
0;168222
0,07754222;191996
0,2710434;313024
0,5218151;254005
0,6918315;317314
1;363441
0;101052
0,1993815;216252
0,5261452;387961
0,8477007;445621
1;514094
0;149903
0,04749365;191073
0,1017822;237710
0,1719176;319213
0,3461864;482111
0,4435484;601678
0,6417991;743317
0,7359165;954231
0,8972068;950056
0,9576084;949836
1;942833
0;147741
0,01059515;166634
0,08744828;238549
0,1484342;313366
0,3023448;317955
0,4812669;295737
0,6641124;446342
0,8297931;726078
1;890354
0,007276663;171485
0,02812071;165873
0,1045953;189560
0,1572681;251613
0,2840899;371549
0,3552812;498291
0,5058299;515122
0,7298847;845121
1;921727
0;76997
0,04749365;111985
0,1017822;148636
0,2545142;269456
0,3461864;373783
0,5432145;537308
0,6417991;799299
0,8221809;929517
0,8972068;944737
1;941417
0,008243436;143123
0,03177794;136389
0,1175453;209229
0,2429524;371365
0,3160365;491203
0,4739976;521128
0,6357241;577002
0,7868665;747440
0,8539844;901202
1;924481
0,01694775;147139
0,1361607;233730
0,4464286;407543
0,6772487;434851
0,8763227;750512
1;950528
0;110450
0,04396499;130526
0,07653165;157303
0,2194179;325661
0,8243436;629270
1;760929
