EventIndex;TotalTime;RelativeTime;SkeletonId;Joint;Status;EuclideanDistance
44;2,5544152;0,066982;7,20576E+16;WristRight;TRACKED;0,06299419
45;2,5874204;0,0999872;7,20576E+16;WristRight;TRACKED;0,1389304
46;2,654525;0,1670918;7,20576E+16;WristRight;TRACKED;0,3054438
47;2,7215177;0,2340845;7,20576E+16;WristRight;TRACKED;0,5428949
62;3,4874571;0,0330041;7,20576E+16;WristRight;TRACKED;0,000548146
63;3,5215087;0,0670557;7,20576E+16;WristRight;TRACKED;0,01055272
64;3,5874262;0,1329732;7,20576E+16;WristRight;TRACKED;0,07771932
65;3,654417;0,199964;7,20576E+16;WristRight;TRACKED;0,2720596
66;3,6874412;0,2329882;7,20576E+16;WristRight;TRACKED;0,3332417
67;3,7544335;0,2999805;7,20576E+16;WristRight;TRACKED;0,5696943
68;3,7874552;0,3330022;7,20576E+16;WristRight;TRACKED;0,7007292
82;4,521519;0,0340658;7,20576E+16;WristRight;TRACKED;3,90436E-05
83;4,5874453;0,0999921;7,20576E+16;WristRight;TRACKED;0,001412105
84;4,6544297;0,1669765;7,20576E+16;WristRight;TRACKED;0,0357646
85;4,6874363;0,1999831;7,20576E+16;WristRight;TRACKED;0,08488701
86;4,7215309;0,2340777;7,20576E+16;WristRight;TRACKED;0,182016
87;4,7874181;0,2999649;7,20576E+16;WristRight;TRACKED;0,4080757
88;4,854447;0,3669938;7,20576E+16;WristRight;TRACKED;0,625519
102;5,5544225;0,0328967;7,20576E+16;WristRight;TRACKED;0,003913606
103;5,6215003;0,0999745;7,20576E+16;WristRight;TRACKED;0,003021115
104;5,6874441;0,1659183;7,20576E+16;WristRight;TRACKED;0,007681974
105;5,7544247;0,2328989;7,20576E+16;WristRight;TRACKED;0,05959809
106;5,7874489;0,2659231;7,20576E+16;WristRight;TRACKED;0,1376447
107;5,8874829;0,3659571;7,20576E+16;WristRight;TRACKED;0,4160618
123;6,7215241;0,0340887;7,20576E+16;WristRight;TRACKED;0,004232689
124;6,7874552;0,1000198;7,20576E+16;WristRight;TRACKED;0,05818334
125;6,8544113;0,1669759;7,20576E+16;WristRight;TRACKED;0,2179652
126;6,8874126;0,1999772;7,20576E+16;WristRight;TRACKED;0,2670141
127;6,9544576;0,2670222;7,20576E+16;WristRight;TRACKED;0,5470815
